Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2010,1,201001,Adelaide,Brisbane,Adelaide - Brisbane,208.0,305.66
2010,1,201001,Adelaide,Canberra,Adelaide - Canberra,258.0,379.14
2010,1,201001,Adelaide,Darwin,Adelaide - Darwin,358.0,526.09
2010,1,201001,Adelaide,Gold Coast,Adelaide - Gold Coast,128.0,188.1
2010,1,201001,Adelaide,Melbourne,Adelaide - Melbourne,86.0,126.38
2010,1,201001,Adelaide,Perth,Adelaide - Perth,288.0,423.23
2010,1,201001,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.85,312.79
2010,1,201001,Adelaide,Sydney,Adelaide - Sydney,116.0,170.47
2010,1,201001,Albury,Sydney,Albury - Sydney,133.0,195.45
2010,1,201001,Alice Springs,Darwin,Alice Springs - Darwin,428.0,628.96
2010,1,201001,Alice Springs,Melbourne,Alice Springs - Melbourne,166.0,243.94
2010,1,201001,Alice Springs,Sydney,Alice Springs - Sydney,458.0,673.05
2010,1,201001,Avalon,Brisbane,Avalon - Brisbane,158.0,232.19
2010,1,201001,Avalon,Sydney,Avalon - Sydney,78.0,114.62
2010,1,201001,Ayers Rock,Cairns,Ayers Rock - Cairns,628.0,922.87
2010,1,201001,Ayers Rock,Sydney,Ayers Rock - Sydney,618.0,908.17
2010,1,201001,Ballina,Sydney,Ballina - Sydney,148.0,217.49
2010,1,201001,Brisbane,Cairns,Brisbane - Cairns,188.0,276.27
2010,1,201001,Brisbane,Canberra,Brisbane - Canberra,158.0,232.19
2010,1,201001,Brisbane,Darwin,Brisbane - Darwin,258.0,379.14
2010,1,201001,Brisbane,Emerald,Brisbane - Emerald,365.0,536.38
2010,1,201001,Brisbane,Gladstone,Brisbane - Gladstone,224.0,329.18
2010,1,201001,Brisbane,Hamilton Island,Brisbane - Hamilton Island,120.0,176.34
2010,1,201001,Brisbane,Hobart,Brisbane - Hobart,348.0,511.4
2010,1,201001,Brisbane,Mackay,Brisbane - Mackay,108.0,158.71
2010,1,201001,Brisbane,Melbourne,Brisbane - Melbourne,218.0,320.36
2010,1,201001,Brisbane,Mount Isa,Brisbane - Mount Isa,471.0,692.15
2010,1,201001,Brisbane,Perth,Brisbane - Perth,438.0,643.66
2010,1,201001,Brisbane,Proserpine,Brisbane - Proserpine,128.0,188.1
2010,1,201001,Brisbane,Rockhampton,Brisbane - Rockhampton,87.0,127.85
2010,1,201001,Brisbane,Sydney,Brisbane - Sydney,128.0,188.1
2010,1,201001,Brisbane,Townsville,Brisbane - Townsville,148.0,217.49
2010,1,201001,Brisbane,Newcastle,Brisbane - Newcastle,78.0,114.62
2010,1,201001,Broome,Perth,Broome - Perth,278.0,408.53
2010,1,201001,Bundaberg,Brisbane,Bundaberg - Brisbane,224.0,329.18
2010,1,201001,Cairns,Melbourne,Cairns - Melbourne,348.0,511.4
2010,1,201001,Cairns,Sydney,Cairns - Sydney,368.0,540.79
2010,1,201001,Cairns,Townsville,Cairns - Townsville,108.0,158.71
2010,1,201001,Canberra,Melbourne,Canberra - Melbourne,76.0,111.68
2010,1,201001,Canberra,Sydney,Canberra - Sydney,98.0,144.01
2010,1,201001,Coffs Harbour,Sydney,Coffs Harbour - Sydney,118.0,173.41
2010,1,201001,Darwin,Melbourne,Darwin - Melbourne,268.0,393.84
2010,1,201001,Darwin,Perth,Darwin - Perth,364.0,534.91
2010,1,201001,Darwin,Sydney,Darwin - Sydney,448.0,658.35
2010,1,201001,Devonport,Melbourne,Devonport - Melbourne,240.0,352.69
2010,1,201001,Dubbo,Sydney,Dubbo - Sydney,247.22,363.3
2010,1,201001,Geraldton,Perth,Geraldton - Perth,222.39,326.81
